mvmr_exposure_label	mvmr_outcome_label	exposure	is_antigen	nsnp	b	se	pval	OR	L95	U95
cagA	ida	body mass index || id:ieu-b-40	FALSE	399	0.153031147457398	0.0410091942339611	0.000190244643200239	1.16536127641816	1.07535745948577	1.26289811131675
cagA	ida	smoking initiation || id:ieu-b-4877	FALSE	21	0.101964444070433	0.0649026390724414	0.116174066527171	1.10734409837919	0.97507125508953	1.25756035347656
omp	sle	Helicobacter pylori OMP antibody levels || id:ebi-a-GCST90006914	TRUE	0	0.0299670165158876	0.0492522780526442	0.542896221132519	1.03042054653328	0.935599808955007	1.13485113245572
omp	sle	Years of schooling || id:ieu-a-1239	FALSE	91	-0.219081174272434	0.237343183214422	0.355977748376695	0.803256511744202	0.504456426105914	1.2790421338076
omp	sle	body mass index || id:ieu-b-40	FALSE	368	0.0234410042479237	0.117563172269507	0.841957127869625	1.02371790395741	0.81303362315091	1.28899754824584
omp	sle	smoking initiation || id:ieu-b-4877	FALSE	19	0.231327815129626	0.187591848745129	0.217521939796772	1.2602723080705	0.872535264104271	1.8203118611141
vacA	ida	Helicobacter pylori VacA antibody levels || id:ebi-a-GCST90006916	TRUE	0	0.00925928215224847	0.0130288324742366	0.477284863799506	1.00930228191842	0.983854528747757	1.03540825042735
vacA	ida	Years of schooling || id:ieu-a-1239	FALSE	112	-0.193847330041383	0.0799426343956144	0.0153155398966168	0.823783661686182	0.704311257461986	0.963522184362814
vacA	ida	body mass index || id:ieu-b-40	FALSE	399	0.151677519447867	0.0409683004535607	0.000213641830949467	1.16378487792246	1.07398888896063	1.26108869095632
vacA	ida	smoking initiation || id:ieu-b-4877	FALSE	21	0.0991042292731816	0.0648290628782008	0.126338676029975	1.10418138158418	0.972426549383519	1.25378777884056
ureA	crc	Helicobacter pylori UREA antibody levels || id:ebi-a-GCST90006915	TRUE	0	-0.0297153410141144	0.018104197701382	0.100724597886566	0.970721818911635	0.936880472880399	1.00578555855055
ureA	crc	Years of schooling || id:ieu-a-1239	FALSE	112	-0.0261798845678545	0.0940055222770496	0.780633899796851	0.974159837525255	0.810235195838411	1.17124927912474
ureA	crc	body mass index || id:ieu-b-40	FALSE	400	0.0245317478086971	0.0474393939023707	0.605074034611608	1.02483512686028	0.93384065125817	1.12469620575166
ureA	crc	smoking initiation || id:ieu-b-4877	FALSE	21	0.105820042871423	0.075415847347548	0.160570941090913	1.111621814236	0.958874557740971	1.2887014760268
catalase	parkinson	Helicobacter pylori Catalase antibody levels || id:ebi-a-GCST90006912	TRUE	0	0.00285391360460558	0.0245063602595735	0.907291126110869	1.00285798989291	0.955826801326919	1.0522033348467
catalase	parkinson	Years of schooling || id:ieu-a-1239	FALSE	113	0.216681719356949	0.148157200900664	0.143600893437925	1.24194875097769	0.928944397075041	1.66041875586064
catalase	parkinson	body mass index || id:ieu-b-40	FALSE	404	-0.040541134228512	0.0739845107086783	0.583713969614661	0.96026966374722	0.830646658245394	1.11012043202705
catalase	parkinson	smoking initiation || id:ieu-b-4877	FALSE	21	-0.284946296349249	0.120177094353108	0.0177374729164817	0.752054641314711	0.594227283124617	0.951801103020691
vacA	uc	Helicobacter pylori VacA antibody levels || id:ebi-a-GCST90006916	TRUE	0	-0.0205092427178986	0.0269582551320048	0.446789781178004	0.979699641345261	0.929277921620385	1.03285719473288
vacA	uc	Years of schooling || id:ieu-a-1239	FALSE	114	-0.308716149029868	0.165435887966461	0.0620305565442556	0.734389197529863	0.531012090102847	1.01565953676139
vacA	uc	body mass index || id:ieu-b-40	FALSE	403	-0.155001614634437	0.0857973795465129	0.0708245444963612	0.856413794687292	0.72385478599366	1.01324823973342
vacA	uc	smoking initiation || id:ieu-b-4877	FALSE	21	-0.206231445229144	0.135180767565477	0.127110127414497	0.813644740295669	0.624261611260846	1.06048129737419
omp	alzheimer	Helicobacter pylori OMP antibody levels || id:ebi-a-GCST90006914	TRUE	0	0.00249379472375379	0.0146642013044469	0.864962915754152	1.00249690681625	0.974093445665774	1.0317285807105
omp	alzheimer	Years of schooling || id:ieu-a-1239	FALSE	114	0.0629090560210947	0.0685942175330323	0.359080317636309	1.06492998585709	0.930963125087771	1.21817486022409
omp	alzheimer	body mass index || id:ieu-b-40	FALSE	402	-0.106577944611223	0.0356123287783557	0.00276497804353684	0.898904980631332	0.838300954255477	0.96389030705739
omp	alzheimer	smoking initiation || id:ieu-b-4877	FALSE	21	-0.0478864432501442	0.0561080087701727	0.393399300164663	0.95324202799817	0.853970917315029	1.06405305557596
hpylori_general	stroke_isch	Anti-helicobacter pylori IgG seropositivity || id:ebi-a-GCST90006910	TRUE	0	-0.0110814713738065	0.0663756020561202	0.867408624954298	0.988979701958076	0.868335037056217	1.12638648579807
hpylori_general	stroke_isch	Years of schooling || id:ieu-a-1239	FALSE	114	-0.380617524186694	0.0776990667000785	9.65163743352292e-07	0.683439238615514	0.586895971825087	0.795863688460551
hpylori_general	stroke_isch	body mass index || id:ieu-b-40	FALSE	403	0.0902448298965857	0.0401772676943781	0.0246933496861724	1.09444220307793	1.01156373418507	1.18411099113102
hpylori_general	stroke_isch	smoking initiation || id:ieu-b-4877	FALSE	21	0.0804674890885799	0.0638466608208519	0.207552448337749	1.0837936109514	0.956311132837324	1.22827033044577
