exposure	outcome	n_snp	OR	L95	U95	P_ivw	OR_wmd	P_wmd	OR_egger	P_egger	egger_intercept_P	Q_pval	P_fdr	P_bonf
hpylori_general	crc	10	0.803572294906195	0.606501110464413	1.06467807230618	0.127655118433024	0.778514725522378	0.203781278479186	1.05747045361282	0.910074281389153	0.564906566813261	0.757232229544861	0.976510481846338	1
ureA	itp	10	1.25407979029294	0.931022337956157	1.68923564591771	0.136298682127487	1.10531560680418	0.532298410025062	1.76088177846412	0.24602489271532	0.447131983978232	0.0494517505253836	0.976510481846338	1
omp	crohn	7	0.886551186539245	0.750007374610496	1.04795370413834	0.158212522093813	0.948604839251884	0.578773550123324	0.807660856314805	0.354291163543197	0.641743164705106	0.179643995102723	0.976510481846338	1
groEL	ida	4	0.928898068810116	0.836589592762691	1.03139177166877	0.167222042974762	0.928657539053244	0.236629719785647	0.751785904937054	0.153106193533329	0.213111772913809	0.290348963322047	0.976510481846338	1
vacA	uc	14	0.951931058838096	0.885743715085823	1.02306426266069	0.180300543639809	0.950787598303497	0.287795481552261	1.02615015756607	0.774401814965926	0.366561557307348	0.823709830894627	0.976510481846338	1
omp	alzheimer	7	0.968765790373881	0.924822212953982	1.01479737775873	0.180309263800097	0.976133598083831	0.423106813826427	0.93688381991641	0.280578876352014	0.520327065785803	0.75892272970753	0.976510481846338	1
ureA	parkinson	10	1.06584314144597	0.970324072362324	1.17076514385723	0.183145835816174	1.11460842570799	0.083811472269335	1.00300885139586	0.981884607621828	0.623324746259748	0.727610899007861	0.976510481846338	1
omp	crc	7	1.05524053069415	0.97453404019815	1.14263076679524	0.185322640500602	1.06482628372051	0.245816061163101	1.14194687749675	0.213850536960108	0.390012061070185	0.509370375899911	0.976510481846338	1
cagA	ida	13	1.02597620672326	0.986499311486017	1.06703285497141	0.200189484620959	1.015256124727	0.548277755890619	1.05577167675904	0.278105391435388	0.518540081605175	0.188713939180083	0.976510481846338	1
catalase	parkinson	8	1.06464312810973	0.966885291598679	1.17228486158597	0.202412123794709	1.00871116187027	0.893704438488206	1.07157668289273	0.504925334439326	0.939336210330928	0.371640347475173	0.976510481846338	1
