exposure	outcome	eas_id	n_snp	OR_eas	L95_eas	U95_eas	P_eas	OR_wmd_eas	P_wmd_eas	OR_eur	L95_eur	U95_eur	P_eur	dir_concordant
ureA	sle	ebi-a-GCST90018697	6	1.28400774001453	0.87786552714727	1.87805059594353	0.197550602780279	1.05716850307298	0.829568824380422	1.01741588648812	0.901296704111781	1.14849536379757	0.780053603145746	TRUE
catalase	stroke_isch	bbj-a-129	3	0.941144492267418	0.856375450011196	1.03430446927655	0.207813715832888	0.931450335465021	0.203511094745336	1.0153703437534	0.971506746906099	1.06121438503355	0.498405231669415	FALSE
ureA	t2d	ebi-a-GCST010118	6	0.979036011268711	0.947199780405013	1.01194228629476	0.209062337196993	0.971004355160124	0.159749028661188	0.973613351868031	0.881637423514468	1.07518457548796	0.597379126732515	TRUE
cagA	t2d	ebi-a-GCST010118	11	0.986589387076356	0.965267846654227	1.00838189323877	0.225819277955195	0.980340894848026	0.204880149272406	0.99743882616751	0.899095344375072	1.10653916536285	0.961379523150199	TRUE
catalase	atopic	bbj-a-90	3	0.761601246937645	0.489330130597382	1.18536837007944	0.227596338919746	0.764403623386513	0.120167064034742	1.03019279116367	0.979476751636693	1.08353484163068	0.248134873165305	FALSE
cagA	stroke_isch	bbj-a-129	9	0.977169255809138	0.940785723584062	1.01495986871581	0.232877337667698	0.958083159733753	0.112021491694812	0.984104838204123	0.951626863715702	1.01769125011386	0.3493782489766	TRUE
catalase	ida	ebi-a-GCST90018652	3	0.89320379190053	0.739940736219494	1.07821204430732	0.239621036680966	0.903601298476469	0.381931156118989	0.994708623871812	0.946945798262725	1.04488054989018	0.832637593014452	TRUE
hpylori_general	crc	bbj-a-107	4	0.709260618085774	0.390853485986092	1.28705676782761	0.258499437646384	0.682210009496612	0.28186579348313	0.803572294906195	0.606501110464413	1.06467807230618	0.127655118433024	TRUE
ureA	ra	bbj-a-151	6	0.940646196635947	0.845165265471986	1.0469139035802	0.26251560617194	0.96457528920516	0.613092705731382	0.976651989948891	0.901307663280305	1.05829468485778	0.564098620467619	TRUE
catalase	cad	bbj-a-159	3	1.04521381522972	0.967288871921145	1.12941640419918	0.263280867159279	1.04434028572771	0.3635017318589	0.983929239662357	0.953022769323425	1.01583800495117	0.319752615462273	FALSE
cagA	crc	bbj-a-107	9	1.0329529805245	0.975468811984861	1.09382467882633	0.267079935286434	1.03592187115716	0.367474297609602	1.00229434364761	0.96260822202979	1.04361663272485	0.911472913965887	TRUE
cagA	afib	ebi-a-GCST004296	8	1.03250119333679	0.97395844089423	1.09456283705811	0.282832308865989	1.04348821522412	0.254447296112019	1.00940019557411	0.984405958230917	1.03502904092138	0.464539982516583	TRUE
ureA	crc	bbj-a-107	6	0.945335625456651	0.851323626828185	1.04972940559287	0.292854987372005	0.926056631706256	0.190896838918891	0.949003037559768	0.894571670774936	1.00674635104139	0.0824066237495761	TRUE
hpylori_general	itp	ebi-a-GCST90018645	4	6.12286212484739	0.193550736092448	193.69309234755	0.303866221268722	6.56394594450924	0.359024908022608	1.05563677726286	0.280695001926977	3.97003508384458	0.936145930976973	TRUE
omp	afib	ebi-a-GCST004296	8	0.964419052873797	0.899911411399352	1.03355074484464	0.30502754816191	0.954276495224516	0.289082535111586	0.978476015138849	0.930944108016104	1.02843479426741	0.391760254110282	TRUE
hpylori_general	parkinson	ebi-a-GCST90018674	4	3.45762405500496	0.300568254760052	39.7752055196013	0.319519023852305	3.1635817632013	0.465605167607153	1.0001717813912	0.633242698275412	1.57971595253384	0.999412308960147	TRUE
ureA	pancan	bbj-a-140	6	0.858037088982696	0.624149321403703	1.17956972926628	0.345721746713935	0.871498185414189	0.495363557378311	0.959031476628633	0.756861004045165	1.2152051278224	0.729101502650318	TRUE
ureA	itp	ebi-a-GCST90018645	6	1.28064520990439	0.760582797935574	2.15630981676497	0.352101293264891	1.43789622790846	0.298582393791983	1.25407979029294	0.931022337956157	1.68923564591771	0.136298682127487	TRUE
catalase	crc	bbj-a-107	3	0.925161338980343	0.783049402470242	1.09306449943486	0.360613339428169	0.921829929067787	0.376425911529035	0.93954882960295	0.883582224493662	0.999060391594156	0.0465908725352687	TRUE
omp	asthma	bbj-a-88	6	1.07376747626213	0.916740249610071	1.2576916891876	0.377599782827689	1.10110566396912	0.0804941967694052	0.89274925019694	0.678580307712601	1.17451275061868	0.417572083827933	FALSE
groEL	ida	ebi-a-GCST90018652	4	1.10234825436299	0.884211519400529	1.37429975434043	0.386407535247149	1.09359980854668	0.516919944521328	0.928898068810116	0.836589592762691	1.03139177166877	0.167222042974762	FALSE
vacA	sle	ebi-a-GCST90018697	7	0.878221051529476	0.65192201322348	1.18307435506882	0.39301137036742	0.821308748142357	0.329359806792256	0.899001007744614	0.730181141687829	1.10685248602512	0.315703341155602	TRUE
hpylori_general	uc	ebi-a-GCST90018713	4	0.173102238582943	0.00304964352443989	9.82553690695033	0.394697429591513	0.604678258724375	0.752056001315511	1.03890360382555	0.706643581692916	1.52739050633698	0.846097393746951	FALSE
ureA	cad	bbj-a-159	6	1.01824150161638	0.973555889091155	1.06497815608909	0.429811565000466	1.03263018835988	0.292318592613434	1.01452754824258	0.981724459890287	1.04842671054373	0.389739045207524	TRUE
vacA	crc	bbj-a-107	7	0.97180141071037	0.905146838537701	1.04336439310154	0.430098654180586	1.01395222963811	0.746834788663639	0.992455333803955	0.952779761677033	1.03378307266123	0.715985121516156	TRUE
hpylori_general	pancan	bbj-a-140	4	0.393903180656711	0.0386676581944103	4.01264837274017	0.431451541947385	0.427411976558517	0.545432319898151	0.855887277569049	0.419546478009736	1.74603546996659	0.668794314176554	TRUE
catalase	pancan	bbj-a-140	3	1.37031904042945	0.624468469984031	3.00699613002319	0.432039271362811	1.54179078598627	0.189263194690618	1.02039608387514	0.860584411421262	1.2098849969501	0.816280330536899	TRUE
vacA	t2d	ebi-a-GCST010118	8	0.989540572714379	0.96387527864945	1.0158892615442	0.432910253577943	0.996803532524035	0.849212198814062	0.95918852519484	0.919392016455492	1.00070765288181	0.053944738182734	TRUE
groEL	sle	ebi-a-GCST90018697	4	0.724677110935126	0.319521947287043	1.64357071422548	0.440848134662149	0.732712877338386	0.542598094701522	1.07120022604343	0.768753249858142	1.49263749387367	0.684495255853419	FALSE
