exposure	outcome	n_snp	OR_noHLA	L95_noHLA	U95_noHLA	P_ivw_noHLA	P_fdr_noHLA	OR_primary	L95_primary	U95_primary	P_ivw_primary	P_fdr_primary	delta_OR	P_changed_dir
omp	alzheimer	7	0.968765790373881	0.924822212953982	1.01479737775873	0.180309263800097	0.976510481846338	0.965449519892262	0.926599337017482	1.00592860174107	0.0933627276773281	0.888217786178242	0.00331627048161898	FALSE
hpylori_general	stroke_isch	11	0.850523382690445	0.703576210758232	1.02816157431419	0.0943240126914947	0.976510481846338	0.850523382690445	0.703576210758232	1.02816157431419	0.0943240126914947	0.888217786178242	3.33066907387547e-16	FALSE
omp	ida	7	0.992886595582944	0.925640937002651	1.06501749466755	0.841858790946586	0.976510481846338	1.05865149350428	0.985489204089081	1.13724531942974	0.118774131828227	0.933154939073021	-0.0657648979213364	FALSE
hpylori_general	crc	10	0.803572294906195	0.606501110464413	1.06467807230618	0.127655118433024	0.976510481846338	0.803572294906195	0.606501110464413	1.06467807230618	0.127655118433024	0.933154939073021	1.11022302462516e-16	FALSE
omp	uc	7	1.14905949758039	0.965371723893091	1.36769877996334	0.117948164622744	0.976510481846338	1.11892929436168	0.968228446912783	1.29308612009156	0.127874219184332	0.933154939073021	0.0301302032187067	FALSE
ureA	itp	10	1.25407979029294	0.931022337956157	1.68923564591771	0.136298682127487	0.976510481846338	1.25407979029294	0.931022337956157	1.68923564591771	0.136298682127487	0.933154939073021	2.22044604925031e-16	FALSE
vacA	crohn	14	0.950552173845344	0.878926602199183	1.02801466350127	0.204530303773434	0.976510481846338	0.945593216597537	0.877686869929062	1.0187534551446	0.141199762839109	0.933154939073021	0.00495895724780671	FALSE
groEL	ida	4	0.928898068810116	0.836589592762691	1.03139177166877	0.167222042974762	0.976510481846338	0.928898068810116	0.836589592762691	1.03139177166877	0.167222042974762	0.933154939073021	1.11022302462516e-16	FALSE
omp	itp	7	1.07227438926485	0.734751883580365	1.56484439382529	0.717480320984936	0.976510481846338	1.21553073014306	0.919118859000026	1.60753415236155	0.17112162303014	0.933154939073021	-0.143256340878211	FALSE
omp	ra	6	1.01067260866633	0.927515453803635	1.10128528610441	0.808519373604205	0.976510481846338	1.42195491667416	0.858243320096539	2.35592370800671	0.171758632120166	0.933154939073021	-0.411282308007833	FALSE
ureA	parkinson	10	1.06584314144597	0.970324072362324	1.17076514385723	0.183145835816174	0.976510481846338	1.06584314144597	0.970324072362324	1.17076514385723	0.183145835816174	0.933154939073021	-3.10862446895044e-15	FALSE
omp	ms	4	1.15718297840322	1.01440818195613	1.32005288337083	0.0297860324184987	0.976510481846338	0.521368886327209	0.195686537973569	1.38908643611851	0.192687556079406	0.933154939073021	0.635814092076015	TRUE
cagA	uc	10	1.03399884693054	0.952803553029378	1.12211338009223	0.422961480654334	0.976510481846338	1.05166268857476	0.974074517597546	1.13543100713497	0.197665281100242	0.933154939073021	-0.0176638416442214	FALSE
vacA	cad	9	0.987160956993509	0.961536359453202	1.01346844082579	0.33555004270994	0.976510481846338	0.984501446960997	0.961353585816524	1.00820667168477	0.198192199449137	0.933154939073021	0.00265951003251208	FALSE
vacA	ms	6	0.991726942666257	0.902657196857959	1.08958565027087	0.862630696895793	0.976510481846338	0.872982329867126	0.701547429237373	1.0863102286451	0.223295456052925	0.994532972966802	0.118744612799131	FALSE
catalase	itp	8	1.13903799492649	0.919362650766503	1.41120324259907	0.233692694515905	0.976510481846338	1.13039575778718	0.922291629730531	1.38545610524146	0.237710648816988	0.994532972966802	0.00864223713931467	FALSE
omp	stroke_isch	7	0.981506869651342	0.923369635297732	1.04330454278167	0.549049383107476	0.976510481846338	0.969272297556423	0.919616775747473	1.02160901321823	0.244748283550671	0.994532972966802	0.0122345720949187	FALSE
catalase	atopic	7	1.01531644621294	0.973027046988982	1.05944381416784	0.483750576519216	0.976510481846338	1.03019279116367	0.979476751636693	1.08353484163068	0.248134873165305	0.994532972966802	-0.0148763449507303	FALSE
catalase	ra	8	0.966287807133298	0.901289459305136	1.03597364484251	0.33442010459294	0.976510481846338	0.96546097632144	0.905111479940261	1.02983435461571	0.285825250590257	0.994532972966802	0.000826830811858526	FALSE
omp	crc	7	1.05524053069415	0.97453404019815	1.14263076679524	0.185322640500602	0.976510481846338	1.0323023577115	0.971358895426042	1.09706943824231	0.305833283788616	0.994532972966802	0.0229381729826532	FALSE
groEL	stroke_isch	4	1.04103309379293	0.963567486610707	1.12472651623408	0.308061252808186	0.976510481846338	1.04103309379293	0.963567486610707	1.12472651623408	0.308061252808186	0.994532972966802	2.66453525910038e-15	FALSE
vacA	sle	8	1.0250129566318	0.905161785003672	1.16073344972115	0.696970528917565	0.976510481846338	0.899001007744614	0.730181141687829	1.10685248602512	0.315703341155602	0.994532972966802	0.126011948887188	FALSE
catalase	cad	7	0.983929239662357	0.953022769323425	1.01583800495117	0.319752615462273	0.976510481846338	0.983929239662357	0.953022769323425	1.01583800495117	0.319752615462273	0.994532972966802	-3.33066907387547e-16	FALSE
cagA	atopic	9	1.01211812696016	0.978785754453242	1.04658562740686	0.480812546320731	0.976510481846338	1.01647610956452	0.984141269211552	1.04987333997607	0.321786787693994	0.994532972966802	-0.00435798260436204	FALSE
groEL	cad	4	0.964720748391929	0.897129018571621	1.03740499204863	0.332480975381884	0.976510481846338	0.964720748391929	0.897129018571621	1.03740499204863	0.332480975381884	0.994532972966802	0	FALSE
