exposure	outcome	n_snp	OR	L95	U95	P_ivw	OR_egger	P_egger	OR_wmedian	P_wmedian	OR_wmode	P_wmode	P_egger_intercept	Q_pval	presso_global_p	P_bonf	P_fdr
hpylori_general	ms	3	1.1585027863379	0.378679897820038	3.5442301365321	0.796491017255351	0.000153049889433243	0.304743810910195	0.979346041580459	0.965738605189893	0.586161742475783	0.611888087106886	0.299609517298301	0.0776436522963895		1	0.994532972966802
hpylori_general	atopic	10	1.02780370759397	0.832929197702533	1.26827161811318	0.798199348495299	0.600292976628582	0.206571976587414	1.01778988332571	0.893930245125095	1.04206423821234	0.923789555500184	0.170892511374689	0.258574621976041	0.253	1	0.994532972966802
cagA	itp	14	0.980693146416895	0.841927669965413	1.14232977693747	0.802231903569339	1.00940047776426	0.962398130464159	0.979699922361553	0.838362335933041	0.994887130342696	0.980109019305304	0.873027303451036	0.261471612644127	0.248	1	0.994532972966802
hpylori_general	alzheimer	11	0.97240208608284	0.780152419251754	1.21202702662276	0.803351625122776	1.06887900044948	0.862445948312951	0.972865278899812	0.800725242188854	0.966440369813416	0.881865431406448	0.795596267946736	0.00475584288799693	0.011	1	0.994532972966802
vacA	alzheimer	15	0.997104140375629	0.974026611505527	1.02072844315566	0.808207637704457	1.00897664067103	0.726032973208521	0.999187315447693	0.961600523340385	1.00248055268799	0.936495921393557	0.598194362686477	0.822453681696662	0.822	1	0.994532972966802
catalase	pancan	9	1.02039608387514	0.860584411421262	1.2098849969501	0.816280330536899	0.814134249985519	0.204791643900984	1.02787881934921	0.804553630858558	0.851478065092947	0.4071398842403	0.114600164965998	0.251188331330015	0.242	1	0.994532972966802
omp	t2d	4	1.01286087149939	0.906814643583641	1.1313085339693	0.820836625267591	1.02120263964608	0.944901952985327	1.01812588981744	0.637094914671511	1.08756910421398	0.582352106586776	0.977683588505455	0.00446150076497563	0.035	1	0.994532972966802
catalase	t2d	3	1.01090829886008	0.91689886291204	1.11455650131198	0.827540098643508	2.65254633212124	0.348578625760739	1.02539334083792	0.535573962353016	1.04216110861581	0.544967064508647	0.351202903864723	0.0363619241763149		1	0.994532972966802
ureA	stroke_isch	10	0.994500357457672	0.945635162546356	1.04589063536959	0.830129901260571	1.08174388938665	0.289931288967121	0.998168649645002	0.956619203087524	1.00541528684178	0.954231837655674	0.230284906549128	0.311414957015952	0.34	1	0.994532972966802
catalase	ida	9	0.994708623871812	0.946945798262725	1.04488054989018	0.832637593014452	0.928500914388941	0.153932363678777	1.00421188015151	0.90076495976028	1.00470884743881	0.929437085626619	0.124707814102967	0.386240439617825	0.392	1	0.994532972966802
cagA	pancan	14	0.988125969068118	0.882471634519798	1.10642981887811	0.835981656058627	0.945581910369072	0.707451422060769	1.0292464683502	0.706240216762202	1.03849460415193	0.808005837444116	0.745964632706641	0.25297299212799	0.262	1	0.994532972966802
hpylori_general	uc	11	1.03890360382555	0.706643581692916	1.52739050633698	0.846097393746951	0.759315741999689	0.676231329239363	0.893331755154604	0.677650324435026	0.802393728720136	0.733833913273543	0.61651964835442	0.36528138546523	0.393	1	0.994532972966802
ureA	asthma	3	0.982390781667693	0.814091275925935	1.18548334375403	0.852991213242755	1.77940755395026	0.382681204482708	0.905499242429163	0.363297887741667	0.892683482586094	0.504778324353966	0.367240210203982	0.257156457739969		1	0.994532972966802
cagA	cad	6	0.997258640525297	0.965906969382333	1.02962793273801	0.866236498796654	1.035854323918	0.584557926798969	1.0124108549126	0.494072601263888	1.02294669770744	0.505907708217892	0.540030767105357	0.203440853478597	0.23	1	0.994532972966802
ureA	afib	10	1.00231426436005	0.972744624373437	1.03278276678911	0.879739172834539	1.01729301468343	0.689059647542442	1.01855535473428	0.395298513953592	1.02917482064713	0.594297040141498	0.709226101670232	0.518049180064134	0.541	1	0.994532972966802
catalase	uc	9	1.00651994160882	0.923513924191829	1.09698659253327	0.882347210059639	0.9443619120305	0.510866931980859	1.00237456263889	0.967158110136984	0.996674015566285	0.967370732101869	0.39290051061581	0.800187421519571	0.792	1	0.994532972966802
vacA	afib	15	0.998540192452048	0.977614512851856	1.0199137828197	0.892456870095325	1.02295655849184	0.371283731767322	0.993152577742744	0.635717077524976	0.987341329281252	0.692005769432458	0.292056378245477	0.882714696372242	0.891	1	0.994532972966802
omp	atopic	9	1.00687889511402	0.903329358286266	1.12229841765506	0.901464318034885	1.08561294333924	0.634946835189396	1.03015737994523	0.446853499129923	1.02695825920723	0.673142604654651	0.641924168060492	9.04445721176996e-06	0.001	1	0.994532972966802
cagA	crc	14	1.00229434364761	0.96260822202979	1.04361663272485	0.911472913965887	0.962334243816926	0.478143714419317	1.04393094894151	0.12323272451607	1.05041616929926	0.359536308213199	0.415314659497883	0.495569624249457	0.534	1	0.994532972966802
cagA	parkinson	10	1.00334117376461	0.937099823865878	1.07426496658421	0.923742884353631	1.08019353039051	0.395188989240573	1.0039584379964	0.932709976630276	1.08687534219994	0.521729828831321	0.37447174647633	0.658752927882969	0.658	1	0.994532972966802
groEL	crohn	4	0.991676466459555	0.830557923607693	1.18405012603819	0.926380460192022	1.15748879995665	0.594912026699657	0.970692384660451	0.776826186377545	0.910069225587642	0.674745794640913	0.547018741565189	0.555945201800326	0.599	1	0.994532972966802
catalase	crohn	9	0.995245438584224	0.889696857278708	1.11331570401672	0.933595130566407	1.05396115179525	0.654382186669396	0.971891028744463	0.674971514977517	0.940188763112279	0.600392962252433	0.566547295728635	0.176791417282585	0.177	1	0.994532972966802
ureA	ms	6	1.00446906772581	0.903956297320024	1.11615806096957	0.933935345272947	0.99715730580634	0.988721664957364	0.99503041292299	0.941539814145546	0.977642659997881	0.821222154897757	0.969819567767073	0.557097372481439	0.614	1	0.994532972966802
catalase	alzheimer	9	1.00126919382481	0.970709464468408	1.03279099998434	0.936074938607995	1.02769118073861	0.381327671320678	1.00099084783094	0.961794504929937	0.969844407384149	0.398263962257336	0.324764244376209	0.769605392562747	0.767	1	0.994532972966802
hpylori_general	itp	10	1.05563677726286	0.280695001926977	3.97003508384458	0.936145930976973	4.67777932562093	0.516034222600047	1.96667426403963	0.350405870842563	3.27256185177646	0.639101298004912	0.510432401182106	0.0513491852853342	0.059	1	0.994532972966802
cagA	crohn	11	0.994971372899602	0.86466294818122	1.14491783760605	0.943883054068648	0.925049504847658	0.665004154225402	1.01450715869406	0.809159840360951	1.04961792920482	0.649512320728938	0.654083799663321	0.000156829675260019	0.001	1	0.994532972966802
cagA	t2d	3	0.99743882616751	0.899095344375072	1.10653916536285	0.961379523150199	1.26036245340985	0.181622426347364	0.99097810535265	0.760160211156934	0.987609245451238	0.90690272045951	0.171616870445982	0.00140659700415948		1	0.994532972966802
groEL	ms	3	0.99367026256039	0.765576872105553	1.28972102825058	0.961934824715055	0.241460714543025	0.667642342586442	1.11994293995817	0.275409425305464	1.13885724247248	0.404115784933769	0.668272486674935	0.0380002811556149		1	0.994532972966802
groEL	itp	4	0.993264283720583	0.649398137973312	1.51921275966995	0.975132179812728	1.55013895868072	0.537884834313842	1.02492867059885	0.927019373094421	1.27703156749697	0.680146681616983	0.502252616225542	0.351260548535779	0.373	1	0.994532972966802
hpylori_general	crohn	11	0.993088191894917	0.505287786809056	1.95180683687057	0.983948508970564	0.390277354107379	0.405876653266631	0.953359667074585	0.872148368736328	1.04243715287919	0.95910344637038	0.384399977399442	0.00206566036038467	0.005	1	0.994532972966802
groEL	pancan	4	1.00281366429105	0.737027557780742	1.36444727835809	0.985731796214884	1.0673164767627	0.908889878580628	1.00834751501263	0.963708055618824	1.02979169607518	0.939276882338129	0.905757464122611	0.353657019976576	0.455	1	0.994532972966802
